well,R,G,B
A1,212.0,147.5,70.5
A2,196.5,136.0,52.0
A3,184.5,120.0,49.5
A4,102.5,91.5,53.0
A5,117.0,97.5,51.5
A6,152.0,110.0,44.0
A7,155.5,109.0,38.0
A8,152.5,105.0,33.5
A9,166.0,112.5,37.5
A10,154.0,105.5,37.0
A11,152.0,105.5,31.0
A12,150.0,101.5,35.0
B1,223.5,144.5,51.0
B2,152.5,121.0,59.5
B3,120.0,106.5,56.5
B4,152.0,112.0,39.5
B5,113.5,99.0,51.0
B6,146.5,117.0,56.0
B7,156.0,110.5,37.5
B8,123.5,103.5,48.5
B9,133.0,101.5,51.0
B10,135.5,100.0,40.0
B11,121.5,97.5,39.5
B12,120.0,91.0,39.5
C1,149.0,118.0,61.5
C2,156.0,122.5,53.5
C3,111.0,99.5,47.5
C4,166.5,115.5,39.0
C5,127.5,100.0,37.5
C6,176.0,118.0,38.5
C7,157.0,110.0,37.0
C8,165.0,114.0,34.5
C9,177.5,121.0,49.5
C10,153.5,105.0,43.0
C11,126.5,97.0,36.5
C12,150.5,105.0,37.0
D1,115.0,109.0,58.0
D2,217.0,139.0,49.5
D3,173.5,122.5,46.0
D4,151.5,116.0,57.0
D5,165.5,116.0,44.0
D6,175.0,123.0,43.5
D7,181.5,128.0,51.5
D8,168.5,126.5,49.5
D9,181.0,128.5,49.0
D10,173.5,126.0,46.0
D11,182.5,123.0,47.5
D12,165.5,108.5,36.5
E1,150.0,125.0,66.5
E2,129.5,110.5,54.0
E3,140.5,117.5,58.5
E4,168.5,124.5,51.0
E5,142.0,112.0,48.5
E6,165.0,125.0,46.5
E7,166.0,123.5,56.0
E8,174.5,124.0,49.0
E9,180.0,120.0,45.5
E10,153.0,116.5,47.0
E11,171.5,122.0,42.5
E12,168.0,114.5,36.0
F1,173.5,128.0,62.5
F2,158.5,127.5,67.0
F3,125.5,109.0,60.0
F4,157.0,118.5,46.5
F5,187.0,133.5,59.5
F6,155.5,122.5,69.5
F7,169.5,129.5,50.5
F8,193.0,134.5,53.5
F9,153.5,111.5,58.5
F10,165.0,128.5,66.5
F11,186.5,133.5,54.0
F12,182.5,122.5,49.5
G1,181.0,145.0,75.5
G2,178.5,135.0,53.0
G3,134.0,117.0,56.5
G4,129.0,106.5,55.5
G5,173.5,125.5,51.0
G6,136.5,115.0,55.0
G7,143.0,119.0,55.0
G8,185.0,130.0,44.0
G9,192.0,134.0,49.5
G10,196.0,135.0,49.0
G11,196.0,133.5,48.0
G12,180.5,129.0,55.0
H1,160.0,126.5,59.0
H2,171.0,126.5,56.5
H3,171.0,127.5,67.5
H4,162.5,122.0,56.5
H5,142.5,112.0,62.0
H6,173.0,125.0,39.0
H7,166.5,125.5,51.5
H8,177.5,127.5,57.0
H9,174.0,120.0,39.5
H10,180.5,127.0,45.0
H11,158.5,126.5,62.0
H12,178.5,121.0,41.0
