well,R,G,B
A1,239.5,157.0,59.0
A2,245.5,167.5,65.5
A3,242.5,162.0,72.0
A4,240.0,163.0,71.0
A5,239.5,141.5,45.0
A6,234.5,139.0,45.5
A7,235.0,141.5,46.5
A8,235.5,139.5,42.5
A9,229.0,227.5,228.0
A10,232.0,232.0,234.0
A11,218.0,219.5,223.0
A12,212.5,215.0,218.5
B1,239.0,134.0,41.0
B2,244.0,141.0,47.0
B3,239.5,132.0,40.5
B4,239.5,133.0,43.0
B5,57.0,66.0,58.0
B6,53.5,61.0,52.0
B7,47.5,59.5,47.0
B8,56.0,71.0,60.5
B9,227.0,227.0,229.0
B10,231.5,231.0,234.5
B11,226.5,226.5,228.0
B12,212.0,210.0,215.0
C1,239.5,140.5,44.0
C2,243.0,141.0,45.5
C3,239.5,143.0,49.5
C4,238.0,137.5,48.5
C5,242.5,138.5,43.5
C6,238.0,138.5,46.0
C7,240.0,136.0,48.0
C8,237.5,138.5,44.5
C9,225.5,222.5,223.5
C10,228.0,226.0,231.0
C11,228.0,227.0,229.5
C12,216.0,216.0,220.5
D1,238.5,153.5,77.0
D2,238.0,147.5,63.0
D3,238.0,151.5,85.0
D4,238.5,147.5,64.5
D5,61.0,71.0,62.0
D6,56.0,79.5,75.5
D7,38.5,63.5,62.5
D8,44.0,63.0,57.5
D9,222.0,222.0,224.0
D10,229.0,228.5,230.5
D11,225.5,225.5,228.0
D12,217.0,217.5,220.5
E1,230.5,125.5,42.0
E2,227.0,118.5,37.0
E3,231.5,113.5,32.0
E4,235.5,118.5,39.5
E5,242.5,141.5,47.0
E6,245.0,143.5,52.0
E7,240.0,139.0,41.0
E8,244.5,141.5,48.0
E9,229.5,226.0,226.0
E10,230.5,229.0,232.0
E11,230.0,231.0,235.0
E12,222.0,222.0,227.0
F1,233.0,149.5,52.0
F2,231.5,153.5,55.0
F3,240.5,153.5,48.0
F4,236.5,151.5,60.5
F5,232.0,126.0,54.0
F6,236.5,131.5,47.5
F7,228.0,127.5,50.5
F8,232.5,142.5,61.5
F9,231.5,228.5,228.0
F10,234.0,232.5,234.0
F11,231.0,230.5,232.5
F12,215.0,215.0,219.5
G1,71.5,103.0,82.5
G2,202.5,143.0,53.0
G3,199.0,138.0,57.0
G4,193.0,133.5,55.0
G5,103.0,155.5,149.5
G6,79.0,150.5,152.0
G7,86.5,147.5,149.0
G8,96.5,152.0,148.5
G9,234.0,232.5,235.5
G10,237.0,237.0,239.0
G11,232.5,232.5,237.0
G12,218.0,218.0,223.0
H1,230.0,142.5,51.0
H2,231.0,149.0,57.5
H3,226.5,144.5,53.5
H4,228.0,143.0,49.0
H5,237.0,136.0,41.0
H6,238.5,138.5,39.5
H7,237.0,140.0,42.5
H8,232.5,148.5,54.5
H9,237.0,235.0,236.0
H10,234.5,234.5,236.0
H11,232.5,233.0,236.5
H12,226.5,226.5,231.0
