experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,task_response,optimal_time_reference_time,result_path,processing_time_min
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,2024-12-04 14:07:00,success,2024-12-04 14:24:00,iPSsimulation/results/2024-11-13_real_round3/step_00000382/result.csv,20
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,2024-12-05 03:20:00,success,2024-12-05 03:30:00,iPSsimulation/results/2024-11-13_real_round3/step_00000387/result.csv,10
IPSExperiment,iPS_Experiment_4,2,0,10,iPSGetImage,2024-12-05 03:20:00,success,2024-12-05 03:30:00,iPSsimulation/results/2024-11-13_real_round3/step_00000387/result.csv,10
IPSExperiment,iPS_Experiment_4,2,1,20,iPSMediumChange,2024-12-05 03:30:00,success,2024-12-05 03:49:00,iPSsimulation/results/2024-11-13_real_round3/step_00000389/result.csv,20
IPSExperiment,iPS_Experiment_2,2,0,10,iPSGetImage,2024-12-05 03:49:00,success,2024-12-05 04:01:00,iPSsimulation/results/2024-11-13_real_round3/step_00000390/result.csv,10
IPSExperiment,iPS_Experiment_2,2,1,20,iPSMediumChange,2024-12-05 03:59:00,success,2024-12-05 04:17:00,iPSsimulation/results/2024-11-13_real_round3/step_00000391/result.csv,20
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,18,120,LabwareRefill,2024-12-05 07:00:00,success,2024-12-05 07:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000392/result.csv,120
IPSExperiment,iPS_Experiment_0,1,2,10,iPSGetImage,2024-12-05 14:27:00,success,2024-12-05 15:17:00,iPSsimulation/results/2024-11-13_real_round3/step_00000394/result.csv,10
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,2024-12-06 03:34:00,success,2024-12-06 03:44:00,iPSsimulation/results/2024-11-13_real_round3/step_00000395/result.csv,10
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,2024-12-06 03:44:00,success,2024-12-06 04:00:00,iPSsimulation/results/2024-11-13_real_round3/step_00000396/result.csv,20
