experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,task_response,optimal_time_reference_time,result_path
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28876995,success,28877005,iPSsimulation/results/2024-11-13_real_round3/step_00000294/result.csv
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28877005,success,28877021,iPSsimulation/results/2024-11-13_real_round3/step_00000295/result.csv
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28877297,success,28877308,iPSsimulation/results/2024-11-13_real_round3/step_00000296/result.csv
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28877307,success,28877324,iPSsimulation/results/2024-11-13_real_round3/step_00000297/result.csv
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28877327,success,28877337,iPSsimulation/results/2024-11-13_real_round3/step_00000298/result.csv
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28877337,success,28877354,iPSsimulation/results/2024-11-13_real_round3/step_00000299/result.csv
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28877672,success,28877683,iPSsimulation/results/2024-11-13_real_round3/step_00000300/result.csv
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28877682,success,28877699,iPSsimulation/results/2024-11-13_real_round3/step_00000301/result.csv
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28877731,success,28877742,iPSsimulation/results/2024-11-13_real_round3/step_00000302/result.csv
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28877741,success,28877758,iPSsimulation/results/2024-11-13_real_round3/step_00000303/result.csv
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,10,120,LabwareRefill,28878180,success,28878180,iPSsimulation/results/2024-11-13_real_round3/step_00000304/result.csv
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28878446,success,28878457,iPSsimulation/results/2024-11-13_real_round3/step_00000305/result.csv
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28878456,success,28878473,iPSsimulation/results/2024-11-13_real_round3/step_00000306/result.csv
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28878748,success,28878759,iPSsimulation/results/2024-11-13_real_round3/step_00000307/result.csv
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28878758,success,28878775,iPSsimulation/results/2024-11-13_real_round3/step_00000308/result.csv
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28878778,success,28878789,iPSsimulation/results/2024-11-13_real_round3/step_00000309/result.csv
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28878788,success,28878805,iPSsimulation/results/2024-11-13_real_round3/step_00000310/result.csv
