experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,task_status
gen_ot2_cwo_experiment,aa9a0574-ca55-4813-9d25-2a66161e4afd,0,0,60,2025-06-12_11-35-12_JST__877e0c3c-4ce7-4ee9-a63c-f04048e57c82_result.csv,29161595,IN_PROGRESS
gen_ot2_cwo_experiment,aa9a0574-ca55-4813-9d25-2a66161e4afd,0,1,5,observation,29161655,NOT_STARTED
