well,R,G,B
A1,244.5,155.5,57.5
A2,243.5,168.5,72.5
A3,244.0,165.5,69.0
A4,244.0,164.0,69.0
A5,240.0,145.5,45.0
A6,237.0,141.0,41.0
A7,237.0,140.0,48.5
A8,240.0,141.0,51.5
A9,238.5,128.0,41.5
A10,240.5,127.5,40.0
A11,234.0,127.5,38.5
A12,237.0,124.0,37.5
B1,243.0,134.0,37.0
B2,243.0,140.0,43.5
B3,238.0,135.5,39.0
B4,240.0,132.0,44.5
B5,44.0,60.5,68.0
B6,44.0,50.0,45.0
B7,41.5,46.0,44.5
B8,44.0,61.0,61.5
B9,232.5,135.0,43.0
B10,237.0,133.0,46.0
B11,234.5,120.5,48.0
B12,234.5,132.0,44.5
C1,239.5,145.0,47.0
C2,245.0,142.0,44.0
C3,240.5,142.0,47.5
C4,238.5,140.0,47.0
C5,244.0,140.5,47.0
C6,240.0,136.0,43.5
C7,242.5,137.0,45.0
C8,237.5,135.0,45.0
C9,239.0,136.0,43.0
C10,234.0,154.5,60.5
C11,236.5,135.0,54.5
C12,239.0,130.5,40.5
D1,240.0,156.0,83.5
D2,240.5,152.5,64.5
D3,240.0,159.5,89.5
D4,238.0,151.5,65.0
D5,55.5,64.0,63.0
D6,53.5,67.5,74.0
D7,30.5,51.5,60.0
D8,31.0,48.5,50.5
D9,154.5,148.5,103.0
D10,150.0,148.5,114.5
D11,149.0,145.0,108.0
D12,134.5,130.0,92.0
E1,234.0,121.5,36.5
E2,230.0,119.0,39.5
E3,237.0,116.5,32.5
E4,234.5,124.5,42.0
E5,240.0,143.5,43.0
E6,241.5,141.0,48.5
E7,242.0,139.5,48.0
E8,242.5,139.5,44.5
E9,128.5,110.5,55.5
E10,124.5,109.0,53.0
E11,127.0,110.0,55.5
E12,112.0,99.5,54.5
F1,231.5,153.5,52.5
F2,228.0,147.5,49.0
F3,238.0,154.5,50.5
F4,231.5,152.0,59.0
F5,235.5,132.5,49.0
F6,226.5,128.0,45.0
F7,244.0,138.5,62.5
F8,237.5,141.0,67.0
F9,241.0,138.5,55.5
F10,236.5,127.0,44.5
F11,234.5,135.5,56.5
F12,231.0,133.5,44.0
G1,46.5,75.0,87.0
G2,172.5,137.0,62.5
G3,187.0,135.5,62.5
G4,167.5,122.5,53.5
G5,31.5,126.0,158.0
G6,27.5,125.5,172.0
G7,27.5,127.0,164.5
G8,31.0,124.0,154.0
G9,233.0,139.0,40.5
G10,240.0,150.5,56.0
G11,236.0,137.0,56.0
G12,237.0,137.0,46.0
H1,225.0,141.0,47.0
H2,221.0,147.0,54.0
H3,222.5,149.0,52.0
H4,222.0,146.0,51.5
H5,239.5,140.0,53.5
H6,233.0,140.5,44.5
H7,232.5,142.0,50.0
H8,231.0,140.5,52.0
H9,235.5,137.5,37.0
H10,231.0,137.5,47.5
H11,227.0,141.5,45.0
H12,234.5,132.5,36.5
