well,R,G,B
A9,238.5,128.0,41.5
A10,240.5,127.5,40.0
A11,234.0,127.5,38.5
A12,237.0,124.0,37.5
B9,232.5,135.0,43.0
B10,237.0,133.0,46.0
B11,234.5,120.5,48.0
B12,234.5,132.0,44.5
C9,239.0,136.0,43.0
C10,234.0,154.5,60.5
C11,236.5,135.0,54.5
C12,239.0,130.5,40.5
D9,154.5,148.5,103.0
D10,150.0,148.5,114.5
D11,149.0,145.0,108.0
D12,134.5,130.0,92.0
E9,128.5,110.5,55.5
E10,124.5,109.0,53.0
E11,127.0,110.0,55.5
E12,112.0,99.5,54.5
F9,241.0,138.5,55.5
F10,236.5,127.0,44.5
F11,234.5,135.5,56.5
F12,231.0,133.5,44.0
G9,233.0,139.0,40.5
G10,240.0,150.5,56.0
G11,236.0,137.0,56.0
G12,237.0,137.0,46.0
H9,235.5,137.5,37.0
H10,231.0,137.5,47.5
H11,227.0,141.5,45.0
H12,234.5,132.5,36.5
