experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,y_label,end_time
IPSExperiment,iPS_Experiment_1,6,1,20,iPSMediumChange,2024-11-23 06:48:00+00:00,IPSExperiment: iPS_Experiment_1,2024-11-23 07:08:00+00:00
IPSExperiment,iPS_Experiment_2,10,1,10,iPSGetImage,2024-11-23 07:38:00+00:00,IPSExperiment: iPS_Experiment_2,2024-11-23 07:48:00+00:00
IPSExperiment,iPS_Experiment_2,10,2,80,iPSPassage,2024-11-23 07:48:00+00:00,IPSExperiment: iPS_Experiment_2,2024-11-23 09:08:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,6,120,LabwareRefill,2024-11-23 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-23 18:00:00+00:00
IPSExperiment,iPS_Experiment_4,8,0,10,iPSGetImage,2024-11-23 19:34:00+00:00,IPSExperiment: iPS_Experiment_4,2024-11-23 19:44:00+00:00
IPSExperiment,iPS_Experiment_4,8,1,20,iPSMediumChange,2024-11-23 19:44:00+00:00,IPSExperiment: iPS_Experiment_4,2024-11-23 20:04:00+00:00
HEKExperiment,HEK_Experiment_1,1,2,10,HEKGetImage,2024-11-23 22:12:00+00:00,HEKExperiment: HEK_Experiment_1,2024-11-23 22:22:00+00:00
HEKExperiment,HEK_Experiment_3,2,2,10,HEKGetImage,2024-11-23 23:33:00+00:00,HEKExperiment: HEK_Experiment_3,2024-11-23 23:43:00+00:00
IPSExperiment,iPS_Experiment_0,5,2,10,iPSGetImage,2024-11-24 00:54:00+00:00,IPSExperiment: iPS_Experiment_0,2024-11-24 01:04:00+00:00
IPSExperiment,iPS_Experiment_3,9,0,10,iPSGetImage,2024-11-24 01:06:00+00:00,IPSExperiment: iPS_Experiment_3,2024-11-24 01:16:00+00:00
IPSExperiment,iPS_Experiment_3,9,1,20,iPSMediumChange,2024-11-24 01:16:00+00:00,IPSExperiment: iPS_Experiment_3,2024-11-24 01:36:00+00:00
HEKExperiment,HEK_Experiment_0,3,2,10,HEKGetImage,2024-11-24 03:31:00+00:00,HEKExperiment: HEK_Experiment_0,2024-11-24 03:41:00+00:00
HEKExperiment,HEK_Experiment_2,4,2,10,HEKGetImage,2024-11-24 04:41:00+00:00,HEKExperiment: HEK_Experiment_2,2024-11-24 04:51:00+00:00
HEKExperiment,HEK_Experiment_4,7,2,10,HEKGetImage,2024-11-24 06:18:00+00:00,HEKExperiment: HEK_Experiment_4,2024-11-24 06:28:00+00:00
IPSExperiment,iPS_Experiment_1,6,2,10,iPSGetImage,2024-11-24 07:08:00+00:00,IPSExperiment: iPS_Experiment_1,2024-11-24 07:18:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,7,120,LabwareRefill,2024-11-24 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-24 18:00:00+00:00
IPSExperiment,iPS_Experiment_4,8,2,10,iPSGetImage,2024-11-24 20:04:00+00:00,IPSExperiment: iPS_Experiment_4,2024-11-24 20:14:00+00:00
IPSExperiment,iPS_Experiment_3,9,2,10,iPSGetImage,2024-11-25 01:36:00+00:00,IPSExperiment: iPS_Experiment_3,2024-11-25 01:46:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,8,120,LabwareRefill,2024-11-25 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-25 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,9,120,LabwareRefill,2024-11-26 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-26 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,10,120,LabwareRefill,2024-11-27 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-27 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,11,120,LabwareRefill,2024-11-28 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-28 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,12,120,LabwareRefill,2024-11-29 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-29 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,13,120,LabwareRefill,2024-11-30 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-30 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,14,120,LabwareRefill,2024-12-01 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-01 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,15,120,LabwareRefill,2024-12-02 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-02 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,16,120,LabwareRefill,2024-12-03 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-03 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,17,120,LabwareRefill,2024-12-04 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-04 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,18,120,LabwareRefill,2024-12-05 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-05 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,19,120,LabwareRefill,2024-12-06 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-06 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,20,120,LabwareRefill,2024-12-07 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-07 18:00:00+00:00
