R,G,B,Color1_ratio,Color2_ratio,Color3_ratio,time,well,column,row,distance
43.0,72.0,52.0,0.2396938893695556,0.3382313250015442,0.4220747856289,,G11,11,G,21.257080078125
41.0,71.0,45.0,0.2213646715500585,0.3897009678365218,0.3889343606134195,,D7,7,D,36.257080078125
39.0,68.0,48.0,0.2396938893695556,0.3382313250015442,0.4220747856289,,G9,9,G,43.382080078125
40.0,69.0,44.0,0.2412564307451248,0.4018942713737488,0.3568492531776428,,C1,1,C,52.788330078125
38.0,70.0,46.0,0.2412564307451248,0.4018942713737488,0.3568492531776428,,C2,2,C,66.100830078125
36.0,69.0,51.0,0.2213646715500585,0.3897009678365218,0.3889343606134195,,D5,5,D,98.850830078125
54.0,84.0,57.0,0.2412564307451248,0.4018942713737488,0.3568492531776428,,C4,4,C,154.538330078125
51.0,80.0,60.0,0.2412564307451248,0.4018942713737488,0.3568492531776428,,C3,3,C,169.007080078125
37.0,64.0,59.0,0.2213646715500585,0.3897009678365218,0.3889343606134195,,D8,8,D,178.007080078125
31.0,58.0,48.0,0.1896033059366854,0.316800634230296,0.4935960598330186,,H10,10,H,204.132080078125
61.0,84.0,42.0,0.2396938893695556,0.3382313250015442,0.4220747856289,,G10,10,G,292.944580078125
28.0,50.0,43.0,0.1896033059366854,0.316800634230296,0.4935960598330186,,H12,12,H,324.100830078125
23.0,54.0,56.0,0.2213646715500585,0.3897009678365218,0.3889343606134195,,D6,6,D,553.382080078125
32.0,66.0,68.0,0.2067043400638916,0.4524809824978664,0.340814677438242,,F6,6,F,560.038330078125
56.0,90.0,73.0,0.2598873519551525,0.4988105170588982,0.2413021309859492,,F10,10,F,722.850830078125
73.0,89.0,49.5,0.2396938893695556,0.3382313250015442,0.4220747856289,,G12,12,G,767.163330078125
44.5,86.5,76.5,0.2598873519551525,0.4988105170588982,0.2413021309859492,,F11,11,F,797.147705078125
47.0,83.0,79.0,0.2598873519551525,0.4988105170588982,0.2413021309859492,,F9,9,F,939.819580078125
31.0,76.0,77.0,0.2142907749396433,0.5702591007854058,0.2154501242749508,,E7,7,E,1028.694580078125
