Color1_ratio,Color2_ratio,Color3_ratio
0.2,0.3,0.5
0.2,0.3,0.5
0.2,0.3,0.5
0.2,0.3,0.5
0.2,0.3,0.5
0.2,0.3,0.5
0.2,0.3,0.5
0.2,0.3,0.5
