time,operation,density,passage_group
28865077,HEKPassage,,0
28866558,HEKGetImage,0.291819924083761,0
28867292,HEKGetImage,0.5721238964300642,0
28868079,HEKGetImage,0.8027811836978946,0
28868220,HEKGetImage,0.8569162638649548,0
28868232,HEKPassage,,1
28869730,HEKGetImage,0.36407213970460883,1
28870450,HEKGetImage,0.5629855505092104,1
28871170,HEKGetImage,0.755322408857897,1
28871283,HEKGetImage,0.7849418852544995,1
28871295,HEKPassage,,2
28872840,HEKGetImage,0.19534993444484244,2
28873569,HEKGetImage,0.3094772579251445,2
28873808,HEKGetImage,0.3469752581947682,2
28873820,HEKSampling,,2
