time,operation,density,passage_group
28865077,HEKPassage,,0
28866466,HEKGetImage,0.34699570844359345,0
28867186,HEKGetImage,0.5289814782201783,0
28867906,HEKGetImage,0.7441656888883895,0
28868360,HEKGetImage,0.8507890179267821,0
28868372,HEKPassage,,1
28869870,HEKGetImage,0.3269095590137264,1
28870590,HEKGetImage,0.5072834386526944,1
28871352,HEKGetImage,0.685500506800905,1
28871769,HEKGetImage,0.7923474931140505,1
28871781,HEKPassage,,2
28873221,HEKGetImage,0.2151375352490099,2
28873980,HEKGetImage,0.3070903346593295,2
28874982,HEKGetImage,0.48752803498147246,2
28874993,HEKSampling,,2
