time,operation,density,passage_group
28859842,iPSPassage,,0
28861402,iPSGetImage,0.0057844488170935345,0
28861414,iPSMediumChange,,0
28862871,iPSGetImage,0.007369042582372878,0
28864311,iPSGetImage,0.012759450627872919,0
28864322,iPSMediumChange,,0
28865762,iPSGetImage,0.024845515713382584,0
28865774,iPSMediumChange,,0
28867214,iPSGetImage,0.05073188839822481,0
28867226,iPSMediumChange,,0
28868666,iPSGetImage,0.11696774203016687,0
28868678,iPSMediumChange,,0
28870147,iPSGetImage,0.28121501685340666,0
28870159,iPSMediumChange,,0
28870206,iPSPlateCoating,,0
28870286,iPSGetImage,0.297311842835746,0
28870298,iPSPassage,,1
28871858,iPSGetImage,0.0006896697807337513,1
28871870,iPSMediumChange,,1
28873328,iPSGetImage,0.0010616752910584816,1
28874768,iPSGetImage,0.0013130567119695607,1
28874781,iPSMediumChange,,1
28876221,iPSGetImage,0.002055427211039278,1
28876232,iPSMediumChange,,1
28877672,iPSGetImage,0.0034312489949608013,1
28877683,iPSMediumChange,,1
28879123,iPSGetImage,0.006084736825167592,1
28879136,iPSMediumChange,,1
28880576,iPSGetImage,0.013636608366941423,1
28880588,iPSMediumChange,,1
28882028,iPSGetImage,0.030715696249521057,1
28882039,iPSMediumChange,,1
