time,operation,density,passage_group
28865077,HEKPassage,,0
28866570,HEKGetImage,0.3687282047897209,0
28867304,HEKGetImage,0.5749467436004958,0
28868091,HEKGetImage,0.8160355322002124,0
28868290,HEKGetImage,0.8474373925683556,0
28868302,HEKPassage,,1
28869800,HEKGetImage,0.36284061950705876,1
28870520,HEKGetImage,0.5806816290734033,1
28871271,HEKGetImage,0.7682198349389451,1
28871364,HEKGetImage,0.786985705751067,1
28871376,HEKPassage,,2
28872852,HEKGetImage,0.25868880737896227,2
28872864,HEKWaiting,,2
28873501,HEKGetImage,0.25286809636766633,2
28873513,HEKSampling,,2
