experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,y_label,end_time
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,7,120,LabwareRefill,2024-11-24 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-24 18:00:00+00:00
HEKExperiment,HEK_Experiment_4,5,0,10,HEKGetImage,2024-11-24 18:00:00+00:00,HEKExperiment: HEK_Experiment_4,2024-11-24 18:10:00+00:00
IPSExperiment,iPS_Experiment_4,1,2,10,iPSGetImage,2024-11-24 20:04:00+00:00,IPSExperiment: iPS_Experiment_4,2024-11-24 20:14:00+00:00
IPSExperiment,iPS_Experiment_0,6,0,10,iPSGetImage,2024-11-25 00:54:00+00:00,IPSExperiment: iPS_Experiment_0,2024-11-25 01:04:00+00:00
IPSExperiment,iPS_Experiment_0,6,1,20,iPSMediumChange,2024-11-25 01:04:00+00:00,IPSExperiment: iPS_Experiment_0,2024-11-25 01:24:00+00:00
IPSExperiment,iPS_Experiment_3,2,2,10,iPSGetImage,2024-11-25 01:36:00+00:00,IPSExperiment: iPS_Experiment_3,2024-11-25 01:46:00+00:00
IPSExperiment,iPS_Experiment_1,7,0,10,iPSGetImage,2024-11-25 07:08:00+00:00,IPSExperiment: iPS_Experiment_1,2024-11-25 07:18:00+00:00
IPSExperiment,iPS_Experiment_1,7,1,20,iPSMediumChange,2024-11-25 07:18:00+00:00,IPSExperiment: iPS_Experiment_1,2024-11-25 07:38:00+00:00
IPSExperiment,iPS_Experiment_2,3,2,10,iPSGetImage,2024-11-25 08:20:00+00:00,IPSExperiment: iPS_Experiment_2,2024-11-25 08:30:00+00:00
HEKExperiment,HEK_Experiment_2,8,0,10,HEKGetImage,2024-11-25 10:01:00+00:00,HEKExperiment: HEK_Experiment_2,2024-11-25 10:11:00+00:00
HEKExperiment,HEK_Experiment_2,8,1,40,HEKSampling,2024-11-25 10:11:00+00:00,HEKExperiment: HEK_Experiment_2,2024-11-25 10:51:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,8,120,LabwareRefill,2024-11-25 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-25 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,9,120,LabwareRefill,2024-11-26 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-26 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,10,120,LabwareRefill,2024-11-27 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-27 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,11,120,LabwareRefill,2024-11-28 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-28 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,12,120,LabwareRefill,2024-11-29 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-29 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,13,120,LabwareRefill,2024-11-30 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-11-30 18:00:00+00:00
HEKExperiment,HEK_Experiment_1,4,2,0,HEKWaiting,2024-12-01 15:57:00+00:00,HEKExperiment: HEK_Experiment_1,2024-12-01 15:57:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,14,120,LabwareRefill,2024-12-01 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-01 18:00:00+00:00
HEKExperiment,HEK_Experiment_2,8,2,0,HEKWaiting,2024-12-02 10:51:00+00:00,HEKExperiment: HEK_Experiment_2,2024-12-02 10:51:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,15,120,LabwareRefill,2024-12-02 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-02 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,16,120,LabwareRefill,2024-12-03 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-03 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,17,120,LabwareRefill,2024-12-04 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-04 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,18,120,LabwareRefill,2024-12-05 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-05 18:00:00+00:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,19,120,LabwareRefill,2024-12-06 16:00:00+00:00,LabwareRefillExperiment: 54326bba-120b-4e49-87fc-693a5bb0f8b5,2024-12-06 18:00:00+00:00
