well,R,G,B
A1,209.5,143.0,64.5
A2,202.5,138.5,56.0
A3,184.0,119.5,50.0
A4,104.5,90.0,51.0
A5,113.5,94.5,51.5
A6,150.0,108.0,40.0
A7,159.0,114.0,37.5
A8,153.5,106.0,33.5
A9,167.5,112.0,35.5
A10,155.5,105.5,38.0
A11,152.5,105.0,30.0
A12,150.0,103.0,35.0
B1,224.5,143.5,54.5
B2,155.0,119.0,59.0
B3,117.5,105.5,57.5
B4,152.0,114.0,39.5
B5,115.0,105.0,55.5
B6,144.0,115.0,53.5
B7,159.0,115.0,42.5
B8,117.5,94.0,45.5
B9,134.0,100.5,46.5
B10,135.0,97.0,42.0
B11,125.0,98.0,43.5
B12,120.5,93.0,44.0
C1,148.5,119.5,58.0
C2,155.0,122.0,56.0
C3,111.5,101.5,51.5
C4,162.0,116.0,36.5
C5,126.5,98.5,41.0
C6,179.5,116.0,39.0
C7,155.5,107.5,36.5
C8,167.5,115.0,39.5
C9,172.0,121.0,46.5
C10,153.5,102.5,39.5
C11,129.5,96.0,37.0
C12,151.5,105.5,33.0
D1,118.0,107.0,61.5
D2,219.5,143.5,51.5
D3,173.5,120.0,50.5
D4,150.0,115.5,57.0
D5,163.0,115.5,44.0
D6,172.0,121.0,42.5
D7,177.0,132.0,54.0
D8,167.5,123.5,48.5
D9,182.0,126.5,47.0
D10,175.5,122.0,40.5
D11,182.0,123.0,47.0
D12,162.0,106.5,39.5
E1,150.5,126.0,65.0
E2,128.0,110.5,57.0
E3,133.5,109.0,50.5
E4,168.0,125.0,52.5
E5,140.5,114.0,45.0
E6,166.5,123.0,44.5
E7,163.5,123.5,55.5
E8,176.5,127.5,50.5
E9,187.5,119.0,42.0
E10,155.5,118.5,46.5
E11,166.0,117.5,45.5
E12,171.5,113.5,37.0
F1,173.5,129.0,60.5
F2,159.0,126.0,65.5
F3,124.0,110.0,59.0
F4,157.5,119.0,46.5
F5,188.0,133.5,59.5
F6,157.5,121.5,64.0
F7,170.0,129.5,49.5
F8,193.5,131.0,47.0
F9,153.5,114.0,55.0
F10,161.5,127.0,68.5
F11,186.5,133.0,52.0
F12,186.0,123.5,50.5
G1,180.0,141.0,64.5
G2,178.5,134.0,51.0
G3,136.5,115.0,57.0
G4,128.0,115.0,60.0
G5,170.0,125.0,53.5
G6,137.5,109.0,56.0
G7,141.5,118.5,54.5
G8,191.0,132.0,51.5
G9,186.0,126.0,45.5
G10,197.5,138.0,50.0
G11,198.5,136.0,52.5
G12,181.0,129.0,57.5
H1,160.5,126.0,57.0
H2,168.5,125.5,56.0
H3,172.0,130.5,66.5
H4,162.0,123.0,52.0
H5,148.5,115.0,55.0
H6,167.5,121.5,39.0
H7,167.5,123.5,57.5
H8,175.0,127.0,53.5
H9,173.5,120.5,36.5
H10,181.0,124.5,37.5
H11,159.5,127.5,58.0
H12,183.0,122.5,38.5
