experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,step,scheduled_time_datetime
HEKExperiment,HEK_Experiment_2,6,0,10,HEKGetImage,28862460,step_00000059,2024-11-16 18:00:00+09:00
IPSExperiment,iPS_Experiment_0,1,2,10,iPSGetImage,28862585,step_00000060,2024-11-16 20:05:00+09:00
IPSExperiment,iPS_Experiment_1,1,2,10,iPSGetImage,28862871,step_00000061,2024-11-17 00:51:00+09:00
IPSExperiment,iPS_Experiment_2,1,2,10,iPSGetImage,28862919,step_00000062,2024-11-17 01:39:00+09:00
HEKExperiment,HEK_Experiment_1,3,0,10,HEKGetImage,28863010,step_00000063,2024-11-17 03:10:00+09:00
HEKExperiment,HEK_Experiment_0,3,0,10,HEKGetImage,28863021,step_00000064,2024-11-17 03:21:00+09:00
HEKExperiment,HEK_Experiment_4,3,0,10,HEKGetImage,28863033,step_00000065,2024-11-17 03:33:00+09:00
HEKExperiment,HEK_Experiment_3,3,0,10,HEKGetImage,28863045,step_00000066,2024-11-17 03:45:00+09:00
IPSExperiment,iPS_Experiment_3,1,2,10,iPSGetImage,28863094,step_00000067,2024-11-17 04:34:00+09:00
HEKExperiment,HEK_Experiment_2,2,0,10,HEKGetImage,28863180,step_00000068,2024-11-17 06:00:00+09:00
IPSExperiment,iPS_Experiment_4,1,2,10,iPSGetImage,28863253,step_00000069,2024-11-17 07:13:00+09:00
HEKExperiment,HEK_Experiment_1,1,0,10,HEKGetImage,28863730,step_00000070,2024-11-17 15:10:00+09:00
HEKExperiment,HEK_Experiment_0,1,0,10,HEKGetImage,28863741,step_00000071,2024-11-17 15:21:00+09:00
HEKExperiment,HEK_Experiment_4,1,0,10,HEKGetImage,28863753,step_00000072,2024-11-17 15:33:00+09:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,4,120,LabwareRefill,28863780,step_00000074,2024-11-17 16:00:00+09:00
HEKExperiment,HEK_Experiment_3,1,0,10,HEKGetImage,28864037,step_00000075,2024-11-17 20:17:00+09:00
HEKExperiment,HEK_Experiment_2,1,0,10,HEKGetImage,28864049,step_00000076,2024-11-17 20:29:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28864061,step_00000077,2024-11-17 20:41:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28864071,step_00000078,2024-11-17 20:51:00+09:00
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28864311,step_00000079,2024-11-18 00:51:00+09:00
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28864321,step_00000080,2024-11-18 01:01:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28864359,step_00000081,2024-11-18 01:39:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28864369,step_00000082,2024-11-18 01:49:00+09:00
HEKExperiment,HEK_Experiment_1,1,0,10,HEKGetImage,28864450,step_00000083,2024-11-18 03:10:00+09:00
HEKExperiment,HEK_Experiment_1,10,0,10,HEKGetImage,28864460,step_00000084,2024-11-18 03:20:00+09:00
IPSExperiment,iPS_Experiment_3,3,0,10,iPSGetImage,28865035,step_00000092,2024-11-18 12:55:00+09:00
IPSExperiment,iPS_Experiment_3,3,1,20,iPSMediumChange,28865045,step_00000093,2024-11-18 13:05:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28865061,step_00000094,2024-11-18 13:21:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28865071,step_00000095,2024-11-18 13:31:00+09:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,5,120,LabwareRefill,28865220,step_00000096,2024-11-18 16:00:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,1,120,LabwareRefill,28865220,step_00000108,2024-11-18 16:00:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28865514,step_00000109,2024-11-18 20:54:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28865524,step_00000110,2024-11-18 21:04:00+09:00
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28865762,step_00000111,2024-11-19 01:02:00+09:00
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28865772,step_00000112,2024-11-19 01:12:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28865811,step_00000113,2024-11-19 01:51:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28865821,step_00000114,2024-11-19 02:01:00+09:00
HEKExperiment,HEK_Experiment_4,7,0,10,HEKGetImage,28866466,step_00000115,2024-11-19 12:46:00+09:00
HEKExperiment,HEK_Experiment_2,5,0,10,HEKGetImage,28866476,step_00000116,2024-11-19 12:56:00+09:00
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28866488,step_00000117,2024-11-19 13:08:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28866498,step_00000118,2024-11-19 13:18:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28866517,step_00000119,2024-11-19 13:37:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28866527,step_00000120,2024-11-19 13:47:00+09:00
HEKExperiment,HEK_Experiment_0,1,0,10,HEKGetImage,28866545,step_00000121,2024-11-19 14:05:00+09:00
HEKExperiment,HEK_Experiment_1,1,0,10,HEKGetImage,28866557,step_00000122,2024-11-19 14:17:00+09:00
HEKExperiment,HEK_Experiment_3,1,0,10,HEKGetImage,28866569,step_00000123,2024-11-19 14:29:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,2,120,LabwareRefill,28866660,step_00000124,2024-11-19 16:00:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28866966,step_00000125,2024-11-19 21:06:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28866976,step_00000126,2024-11-19 21:16:00+09:00
HEKExperiment,HEK_Experiment_4,1,0,10,HEKGetImage,28867186,step_00000127,2024-11-20 00:46:00+09:00
HEKExperiment,HEK_Experiment_2,1,0,10,HEKGetImage,28867197,step_00000128,2024-11-20 00:57:00+09:00
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28867214,step_00000129,2024-11-20 01:14:00+09:00
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28867224,step_00000130,2024-11-20 01:24:00+09:00
HEKExperiment,HEK_Experiment_0,2,0,10,HEKGetImage,28867252,step_00000131,2024-11-20 01:52:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28867263,step_00000132,2024-11-20 02:03:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28867273,step_00000133,2024-11-20 02:13:00+09:00
HEKExperiment,HEK_Experiment_1,1,0,10,HEKGetImage,28867291,step_00000134,2024-11-20 02:31:00+09:00
HEKExperiment,HEK_Experiment_3,1,0,10,HEKGetImage,28867303,step_00000135,2024-11-20 02:43:00+09:00
HEKExperiment,HEK_Experiment_4,1,0,10,HEKGetImage,28867906,step_00000136,2024-11-20 12:46:00+09:00
HEKExperiment,HEK_Experiment_2,1,0,10,HEKGetImage,28867918,step_00000137,2024-11-20 12:58:00+09:00
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28867942,step_00000138,2024-11-20 13:22:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28867952,step_00000139,2024-11-20 13:32:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28867970,step_00000140,2024-11-20 13:50:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28867980,step_00000141,2024-11-20 14:00:00+09:00
HEKExperiment,HEK_Experiment_2,4,0,10,HEKGetImage,28867997,step_00000142,2024-11-20 14:17:00+09:00
HEKExperiment,HEK_Experiment_2,4,1,60,HEKPassage,28868007,step_00000143,2024-11-20 14:27:00+09:00
HEKExperiment,HEK_Experiment_0,1,0,10,HEKGetImage,28868067,step_00000144,2024-11-20 15:27:00+09:00
HEKExperiment,HEK_Experiment_1,2,0,10,HEKGetImage,28868078,step_00000145,2024-11-20 15:38:00+09:00
HEKExperiment,HEK_Experiment_3,2,0,10,HEKGetImage,28868090,step_00000146,2024-11-20 15:50:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,3,120,LabwareRefill,28868100,step_00000147,2024-11-20 16:00:00+09:00
HEKExperiment,HEK_Experiment_1,2,0,10,HEKGetImage,28868220,step_00000152,2024-11-20 18:00:00+09:00
HEKExperiment,HEK_Experiment_1,2,1,60,HEKPassage,28868230,step_00000153,2024-11-20 18:10:00+09:00
HEKExperiment,HEK_Experiment_3,3,0,10,HEKGetImage,28868290,step_00000154,2024-11-20 19:10:00+09:00
HEKExperiment,HEK_Experiment_3,3,1,60,HEKPassage,28868300,step_00000155,2024-11-20 19:20:00+09:00
HEKExperiment,HEK_Experiment_4,4,0,10,HEKGetImage,28868360,step_00000156,2024-11-20 20:20:00+09:00
HEKExperiment,HEK_Experiment_4,4,1,60,HEKPassage,28868370,step_00000157,2024-11-20 20:30:00+09:00
HEKExperiment,HEK_Experiment_0,5,0,10,HEKGetImage,28868430,step_00000158,2024-11-20 21:30:00+09:00
HEKExperiment,HEK_Experiment_0,5,1,60,HEKPassage,28868440,step_00000159,2024-11-20 21:40:00+09:00
IPSExperiment,iPS_Experiment_0,6,0,10,iPSGetImage,28868500,step_00000160,2024-11-20 22:40:00+09:00
IPSExperiment,iPS_Experiment_0,6,1,20,iPSMediumChange,28868510,step_00000161,2024-11-20 22:50:00+09:00
IPSExperiment,iPS_Experiment_1,6,0,10,iPSGetImage,28868666,step_00000162,2024-11-21 01:26:00+09:00
IPSExperiment,iPS_Experiment_1,6,1,20,iPSMediumChange,28868676,step_00000163,2024-11-21 01:36:00+09:00
IPSExperiment,iPS_Experiment_2,6,0,10,iPSGetImage,28868716,step_00000164,2024-11-21 02:16:00+09:00
IPSExperiment,iPS_Experiment_2,6,1,20,iPSMediumChange,28868726,step_00000165,2024-11-21 02:26:00+09:00
IPSExperiment,iPS_Experiment_3,6,0,10,iPSGetImage,28869394,step_00000166,2024-11-21 13:34:00+09:00
IPSExperiment,iPS_Experiment_3,6,1,20,iPSMediumChange,28869404,step_00000167,2024-11-21 13:44:00+09:00
IPSExperiment,iPS_Experiment_4,6,0,10,iPSGetImage,28869422,step_00000168,2024-11-21 14:02:00+09:00
IPSExperiment,iPS_Experiment_4,6,1,20,iPSMediumChange,28869432,step_00000169,2024-11-21 14:12:00+09:00
HEKExperiment,HEK_Experiment_2,3,2,10,HEKGetImage,28869507,step_00000170,2024-11-21 15:27:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,4,120,LabwareRefill,28869540,step_00000171,2024-11-21 16:00:00+09:00
HEKExperiment,HEK_Experiment_1,1,2,10,HEKGetImage,28869730,step_00000172,2024-11-21 19:10:00+09:00
HEKExperiment,HEK_Experiment_3,1,2,10,HEKGetImage,28869800,step_00000173,2024-11-21 20:20:00+09:00
HEKExperiment,HEK_Experiment_4,1,2,10,HEKGetImage,28869870,step_00000174,2024-11-21 21:30:00+09:00
HEKExperiment,HEK_Experiment_0,1,2,10,HEKGetImage,28869940,step_00000175,2024-11-21 22:40:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28869952,step_00000176,2024-11-21 22:52:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28869962,step_00000177,2024-11-21 23:02:00+09:00
IPSExperiment,iPS_Experiment_0,10,0,20,iPSPlateCoating,28869979,step_00000178,2024-11-21 23:19:00+09:00
IPSExperiment,iPS_Experiment_0,10,1,10,iPSGetImage,28870059,step_00000179,2024-11-22 00:39:00+09:00
IPSExperiment,iPS_Experiment_0,10,2,80,iPSPassage,28870069,step_00000180,2024-11-22 00:49:00+09:00
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28870146,step_00000181,2024-11-22 02:06:00+09:00
IPSExperiment,iPS_Experiment_1,1,1,20,iPSMediumChange,28870156,step_00000182,2024-11-22 02:16:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,10,iPSGetImage,28870174,step_00000183,2024-11-22 02:34:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,20,iPSMediumChange,28870184,step_00000184,2024-11-22 02:44:00+09:00
IPSExperiment,iPS_Experiment_1,1,0,20,iPSPlateCoating,28870206,step_00000185,2024-11-22 03:06:00+09:00
HEKExperiment,HEK_Experiment_2,2,0,10,HEKGetImage,28870227,step_00000186,2024-11-22 03:27:00+09:00
IPSExperiment,iPS_Experiment_1,1,1,10,iPSGetImage,28870286,step_00000187,2024-11-22 04:26:00+09:00
IPSExperiment,iPS_Experiment_1,1,2,80,iPSPassage,28870296,step_00000188,2024-11-22 04:36:00+09:00
HEKExperiment,HEK_Experiment_1,1,0,10,HEKGetImage,28870450,step_00000189,2024-11-22 07:10:00+09:00
HEKExperiment,HEK_Experiment_3,1,0,10,HEKGetImage,28870520,step_00000190,2024-11-22 08:20:00+09:00
HEKExperiment,HEK_Experiment_4,1,0,10,HEKGetImage,28870590,step_00000191,2024-11-22 09:30:00+09:00
HEKExperiment,HEK_Experiment_0,1,0,10,HEKGetImage,28870660,step_00000192,2024-11-22 10:40:00+09:00
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28870846,step_00000193,2024-11-22 13:46:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28870856,step_00000194,2024-11-22 13:56:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,10,iPSGetImage,28870874,step_00000195,2024-11-22 14:14:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,20,iPSMediumChange,28870884,step_00000196,2024-11-22 14:24:00+09:00
HEKExperiment,HEK_Experiment_2,1,0,10,HEKGetImage,28870947,step_00000197,2024-11-22 15:27:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,5,120,LabwareRefill,28870980,step_00000198,2024-11-22 16:00:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,20,iPSPlateCoating,28871100,step_00000199,2024-11-22 18:00:00+09:00
HEKExperiment,HEK_Experiment_1,2,0,10,HEKGetImage,28871170,step_00000200,2024-11-22 19:10:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,10,iPSGetImage,28871180,step_00000201,2024-11-22 19:20:00+09:00
IPSExperiment,iPS_Experiment_4,1,2,80,iPSPassage,28871190,step_00000202,2024-11-22 19:30:00+09:00
HEKExperiment,HEK_Experiment_3,1,0,10,HEKGetImage,28871270,step_00000203,2024-11-22 20:50:00+09:00
HEKExperiment,HEK_Experiment_1,1,0,10,HEKGetImage,28871282,step_00000204,2024-11-22 21:02:00+09:00
HEKExperiment,HEK_Experiment_1,1,1,60,HEKPassage,28871292,step_00000205,2024-11-22 21:12:00+09:00
HEKExperiment,HEK_Experiment_4,2,0,10,HEKGetImage,28871352,step_00000206,2024-11-22 22:12:00+09:00
HEKExperiment,HEK_Experiment_3,2,0,10,HEKGetImage,28871363,step_00000207,2024-11-22 22:23:00+09:00
HEKExperiment,HEK_Experiment_3,2,1,60,HEKPassage,28871373,step_00000208,2024-11-22 22:33:00+09:00
IPSExperiment,iPS_Experiment_3,4,0,20,iPSPlateCoating,28871434,step_00000209,2024-11-22 23:34:00+09:00
HEKExperiment,HEK_Experiment_0,3,0,10,HEKGetImage,28871454,step_00000210,2024-11-22 23:54:00+09:00
IPSExperiment,iPS_Experiment_0,5,0,10,iPSGetImage,28871484,step_00000211,2024-11-23 00:24:00+09:00
IPSExperiment,iPS_Experiment_0,5,1,20,iPSMediumChange,28871494,step_00000212,2024-11-23 00:34:00+09:00
IPSExperiment,iPS_Experiment_3,3,1,10,iPSGetImage,28871514,step_00000213,2024-11-23 00:54:00+09:00
IPSExperiment,iPS_Experiment_3,3,2,80,iPSPassage,28871524,step_00000214,2024-11-23 01:04:00+09:00
HEKExperiment,HEK_Experiment_0,4,0,10,HEKGetImage,28871601,step_00000215,2024-11-23 02:21:00+09:00
HEKExperiment,HEK_Experiment_0,4,1,60,HEKPassage,28871611,step_00000216,2024-11-23 02:31:00+09:00
HEKExperiment,HEK_Experiment_2,5,0,10,HEKGetImage,28871671,step_00000217,2024-11-23 03:31:00+09:00
HEKExperiment,HEK_Experiment_2,5,1,60,HEKPassage,28871681,step_00000218,2024-11-23 03:41:00+09:00
IPSExperiment,iPS_Experiment_2,6,0,10,iPSGetImage,28871741,step_00000219,2024-11-23 04:41:00+09:00
IPSExperiment,iPS_Experiment_2,6,1,20,iPSMediumChange,28871751,step_00000220,2024-11-23 04:51:00+09:00
HEKExperiment,HEK_Experiment_4,7,0,10,HEKGetImage,28871768,step_00000221,2024-11-23 05:08:00+09:00
HEKExperiment,HEK_Experiment_4,7,1,60,HEKPassage,28871778,step_00000222,2024-11-23 05:18:00+09:00
IPSExperiment,iPS_Experiment_2,10,0,20,iPSPlateCoating,28871838,step_00000223,2024-11-23 06:18:00+09:00
IPSExperiment,iPS_Experiment_1,6,0,10,iPSGetImage,28871858,step_00000224,2024-11-23 06:38:00+09:00
IPSExperiment,iPS_Experiment_1,6,1,20,iPSMediumChange,28871868,step_00000225,2024-11-23 06:48:00+09:00
IPSExperiment,iPS_Experiment_2,10,1,10,iPSGetImage,28871918,step_00000226,2024-11-23 07:38:00+09:00
IPSExperiment,iPS_Experiment_2,10,2,80,iPSPassage,28871928,step_00000227,2024-11-23 07:48:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,6,120,LabwareRefill,28872420,step_00000228,2024-11-23 16:00:00+09:00
IPSExperiment,iPS_Experiment_4,8,0,10,iPSGetImage,28872634,step_00000229,2024-11-23 19:34:00+09:00
IPSExperiment,iPS_Experiment_4,8,1,20,iPSMediumChange,28872644,step_00000230,2024-11-23 19:44:00+09:00
HEKExperiment,HEK_Experiment_1,4,0,10,HEKGetImage,28872840,step_00000243,2024-11-23 23:00:00+09:00
HEKExperiment,HEK_Experiment_3,4,0,10,HEKGetImage,28872850,step_00000244,2024-11-23 23:10:00+09:00
IPSExperiment,iPS_Experiment_0,1,2,10,iPSGetImage,28872954,step_00000246,2024-11-24 00:54:00+09:00
IPSExperiment,iPS_Experiment_3,3,0,10,iPSGetImage,28872966,step_00000247,2024-11-24 01:06:00+09:00
IPSExperiment,iPS_Experiment_3,3,1,20,iPSMediumChange,28872976,step_00000248,2024-11-24 01:16:00+09:00
HEKExperiment,HEK_Experiment_0,4,0,10,HEKGetImage,28873055,step_00000249,2024-11-24 02:35:00+09:00
HEKExperiment,HEK_Experiment_2,4,0,10,HEKGetImage,28873123,step_00000251,2024-11-24 03:43:00+09:00
HEKExperiment,HEK_Experiment_4,4,0,10,HEKGetImage,28873221,step_00000252,2024-11-24 05:21:00+09:00
IPSExperiment,iPS_Experiment_1,1,2,10,iPSGetImage,28873328,step_00000253,2024-11-24 07:08:00+09:00
IPSExperiment,iPS_Experiment_2,4,0,10,iPSGetImage,28873370,step_00000254,2024-11-24 07:50:00+09:00
IPSExperiment,iPS_Experiment_2,4,1,20,iPSMediumChange,28873380,step_00000255,2024-11-24 08:00:00+09:00
HEKExperiment,HEK_Experiment_3,3,0,10,HEKGetImage,28873501,step_00000256,2024-11-24 10:01:00+09:00
HEKExperiment,HEK_Experiment_3,3,1,40,HEKSampling,28873511,step_00000257,2024-11-24 10:11:00+09:00
HEKExperiment,HEK_Experiment_0,5,0,10,HEKGetImage,28873530,step_00000259,2024-11-24 10:30:00+09:00
HEKExperiment,HEK_Experiment_0,5,1,40,HEKSampling,28873540,step_00000260,2024-11-24 10:40:00+09:00
HEKExperiment,HEK_Experiment_1,6,0,10,HEKGetImage,28873564,step_00000262,2024-11-24 11:04:00+09:00
HEKExperiment,HEK_Experiment_2,4,0,10,HEKGetImage,28873796,step_00000263,2024-11-24 14:56:00+09:00
HEKExperiment,HEK_Experiment_1,4,0,10,HEKGetImage,28873807,step_00000264,2024-11-24 15:07:00+09:00
HEKExperiment,HEK_Experiment_1,4,1,40,HEKSampling,28873817,step_00000265,2024-11-24 15:17:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,7,120,LabwareRefill,28873860,step_00000267,2024-11-24 16:00:00+09:00
HEKExperiment,HEK_Experiment_4,5,0,10,HEKGetImage,28873980,step_00000268,2024-11-24 18:00:00+09:00
IPSExperiment,iPS_Experiment_4,1,2,10,iPSGetImage,28874104,step_00000269,2024-11-24 20:04:00+09:00
IPSExperiment,iPS_Experiment_0,5,0,10,iPSGetImage,28874394,step_00000270,2024-11-25 00:54:00+09:00
IPSExperiment,iPS_Experiment_0,5,1,20,iPSMediumChange,28874404,step_00000271,2024-11-25 01:04:00+09:00
IPSExperiment,iPS_Experiment_3,1,2,10,iPSGetImage,28874436,step_00000272,2024-11-25 01:36:00+09:00
IPSExperiment,iPS_Experiment_1,4,0,10,iPSGetImage,28874768,step_00000273,2024-11-25 07:08:00+09:00
IPSExperiment,iPS_Experiment_1,4,1,20,iPSMediumChange,28874778,step_00000274,2024-11-25 07:18:00+09:00
IPSExperiment,iPS_Experiment_2,1,2,10,iPSGetImage,28874840,step_00000275,2024-11-25 08:20:00+09:00
HEKExperiment,HEK_Experiment_2,1,0,10,HEKGetImage,28874941,step_00000276,2024-11-25 10:01:00+09:00
HEKExperiment,HEK_Experiment_2,1,1,40,HEKSampling,28874951,step_00000277,2024-11-25 10:11:00+09:00
HEKExperiment,HEK_Experiment_4,2,0,10,HEKGetImage,28874969,step_00000279,2024-11-25 10:29:00+09:00
HEKExperiment,HEK_Experiment_4,2,1,40,HEKSampling,28874979,step_00000280,2024-11-25 10:39:00+09:00
LabwareRefillExperiment,54326bba-120b-4e49-87fc-693a5bb0f8b5,0,8,120,LabwareRefill,28875300,step_00000282,2024-11-25 16:00:00+09:00
IPSExperiment,iPS_Experiment_4,3,0,10,iPSGetImage,28875544,step_00000283,2024-11-25 20:04:00+09:00
IPSExperiment,iPS_Experiment_4,3,1,20,iPSMediumChange,28875554,step_00000284,2024-11-25 20:14:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28875846,step_00000285,2024-11-26 01:06:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28875856,step_00000286,2024-11-26 01:16:00+09:00
IPSExperiment,iPS_Experiment_3,1,0,10,iPSGetImage,28875876,step_00000287,2024-11-26 01:36:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,20,iPSMediumChange,28875886,step_00000288,2024-11-26 01:46:00+09:00
IPSExperiment,iPS_Experiment_1,1,0,10,iPSGetImage,28876221,step_00000289,2024-11-26 07:21:00+09:00
