experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,step,scheduled_time_datetime
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,1,120,LabwareRefill,28859460,step_00000007,2024-11-14 16:00:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,20,iPSPlateCoating,28859584,step_00000008,2024-11-14 18:04:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,10,iPSGetImage,28859664,step_00000009,2024-11-14 19:24:00+09:00
IPSExperiment,iPS_Experiment_0,1,2,80,iPSPassage,28859674,step_00000010,2024-11-14 19:34:00+09:00
IPSExperiment,iPS_Experiment_1,1,0,20,iPSPlateCoating,28859751,step_00000011,2024-11-14 20:51:00+09:00
IPSExperiment,iPS_Experiment_1,1,1,10,iPSGetImage,28859831,step_00000012,2024-11-14 22:11:00+09:00
IPSExperiment,iPS_Experiment_1,1,2,80,iPSPassage,28859841,step_00000013,2024-11-14 22:21:00+09:00
IPSExperiment,iPS_Experiment_2,1,0,20,iPSPlateCoating,28859918,step_00000014,2024-11-14 23:38:00+09:00
IPSExperiment,iPS_Experiment_2,1,1,10,iPSGetImage,28859998,step_00000015,2024-11-15 00:58:00+09:00
IPSExperiment,iPS_Experiment_2,1,2,80,iPSPassage,28860008,step_00000016,2024-11-15 01:08:00+09:00
IPSExperiment,iPS_Experiment_3,1,0,20,iPSPlateCoating,28860085,step_00000017,2024-11-15 02:25:00+09:00
IPSExperiment,iPS_Experiment_3,1,1,10,iPSGetImage,28860165,step_00000018,2024-11-15 03:45:00+09:00
IPSExperiment,iPS_Experiment_3,1,2,80,iPSPassage,28860175,step_00000019,2024-11-15 03:55:00+09:00
IPSExperiment,iPS_Experiment_4,1,0,20,iPSPlateCoating,28860252,step_00000020,2024-11-15 05:12:00+09:00
IPSExperiment,iPS_Experiment_4,1,1,10,iPSGetImage,28860332,step_00000021,2024-11-15 06:32:00+09:00
IPSExperiment,iPS_Experiment_4,1,2,80,iPSPassage,28860342,step_00000022,2024-11-15 06:42:00+09:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,2,120,LabwareRefill,28860900,step_00000023,2024-11-15 16:00:00+09:00
IPSExperiment,iPS_Experiment_0,1,0,10,iPSGetImage,28861115,step_00000039,2024-11-15 19:35:00+09:00
IPSExperiment,iPS_Experiment_0,1,1,20,iPSMediumChange,28861125,step_00000040,2024-11-15 19:45:00+09:00
IPSExperiment,iPS_Experiment_1,2,0,10,iPSGetImage,28861401,step_00000041,2024-11-16 00:21:00+09:00
IPSExperiment,iPS_Experiment_1,2,1,20,iPSMediumChange,28861411,step_00000042,2024-11-16 00:31:00+09:00
IPSExperiment,iPS_Experiment_2,3,0,10,iPSGetImage,28861449,step_00000043,2024-11-16 01:09:00+09:00
IPSExperiment,iPS_Experiment_2,3,1,20,iPSMediumChange,28861459,step_00000044,2024-11-16 01:19:00+09:00
HEKExperiment,HEK_Experiment_4,10,0,10,HEKGetImage,28861590,step_00000045,2024-11-16 03:30:00+09:00
HEKExperiment,HEK_Experiment_3,7,0,10,HEKGetImage,28861601,step_00000046,2024-11-16 03:41:00+09:00
HEKExperiment,HEK_Experiment_0,4,0,10,HEKGetImage,28861613,step_00000047,2024-11-16 03:53:00+09:00
IPSExperiment,iPS_Experiment_3,6,0,10,iPSGetImage,28861624,step_00000048,2024-11-16 04:04:00+09:00
IPSExperiment,iPS_Experiment_3,6,1,20,iPSMediumChange,28861634,step_00000049,2024-11-16 04:14:00+09:00
HEKExperiment,HEK_Experiment_1,4,0,10,HEKGetImage,28861654,step_00000050,2024-11-16 04:34:00+09:00
HEKExperiment,HEK_Experiment_2,5,0,10,HEKGetImage,28861665,step_00000051,2024-11-16 04:45:00+09:00
IPSExperiment,iPS_Experiment_4,5,0,10,iPSGetImage,28861783,step_00000052,2024-11-16 06:43:00+09:00
IPSExperiment,iPS_Experiment_4,5,1,20,iPSMediumChange,28861793,step_00000053,2024-11-16 06:53:00+09:00
HEKExperiment,HEK_Experiment_1,9,0,10,HEKGetImage,28862290,step_00000054,2024-11-16 15:10:00+09:00
HEKExperiment,HEK_Experiment_0,8,0,10,HEKGetImage,28862300,step_00000055,2024-11-16 15:20:00+09:00
HEKExperiment,HEK_Experiment_4,6,0,10,HEKGetImage,28862312,step_00000056,2024-11-16 15:32:00+09:00
HEKExperiment,HEK_Experiment_3,6,0,10,HEKGetImage,28862324,step_00000057,2024-11-16 15:44:00+09:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,3,120,LabwareRefill,28862340,step_00000058,2024-11-16 16:00:00+09:00
