experiment_name,experiment_uuid,task_group_id,task_id,processing_time,experiment_operation,scheduled_time,y_label,end_time
IPSExperiment,iPS_Experiment_3,1,2,10,iPSGetImage,2024-11-17 04:34:00+00:00,IPSExperiment: iPS_Experiment_3,2024-11-17 04:44:00+00:00
HEKExperiment,HEK_Experiment_2,3,0,10,HEKGetImage,2024-11-17 06:00:00+00:00,HEKExperiment: HEK_Experiment_2,2024-11-17 06:10:00+00:00
IPSExperiment,iPS_Experiment_4,2,2,10,iPSGetImage,2024-11-17 07:13:00+00:00,IPSExperiment: iPS_Experiment_4,2024-11-17 07:23:00+00:00
HEKExperiment,HEK_Experiment_1,4,0,10,HEKGetImage,2024-11-17 15:10:00+00:00,HEKExperiment: HEK_Experiment_1,2024-11-17 15:20:00+00:00
HEKExperiment,HEK_Experiment_0,5,0,10,HEKGetImage,2024-11-17 15:21:00+00:00,HEKExperiment: HEK_Experiment_0,2024-11-17 15:31:00+00:00
HEKExperiment,HEK_Experiment_4,6,0,10,HEKGetImage,2024-11-17 15:33:00+00:00,HEKExperiment: HEK_Experiment_4,2024-11-17 15:43:00+00:00
HEKExperiment,HEK_Experiment_3,10,0,10,HEKGetImage,2024-11-17 15:45:00+00:00,HEKExperiment: HEK_Experiment_3,2024-11-17 15:55:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,4,120,LabwareRefill,2024-11-17 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-17 18:00:00+00:00
IPSExperiment,iPS_Experiment_0,7,0,10,iPSGetImage,2024-11-17 20:05:00+00:00,IPSExperiment: iPS_Experiment_0,2024-11-17 20:15:00+00:00
IPSExperiment,iPS_Experiment_0,7,1,20,iPSMediumChange,2024-11-17 20:15:00+00:00,IPSExperiment: iPS_Experiment_0,2024-11-17 20:35:00+00:00
IPSExperiment,iPS_Experiment_1,8,0,10,iPSGetImage,2024-11-18 00:51:00+00:00,IPSExperiment: iPS_Experiment_1,2024-11-18 01:01:00+00:00
IPSExperiment,iPS_Experiment_1,8,1,20,iPSMediumChange,2024-11-18 01:01:00+00:00,IPSExperiment: iPS_Experiment_1,2024-11-18 01:21:00+00:00
IPSExperiment,iPS_Experiment_2,9,0,10,iPSGetImage,2024-11-18 01:39:00+00:00,IPSExperiment: iPS_Experiment_2,2024-11-18 01:49:00+00:00
IPSExperiment,iPS_Experiment_2,9,1,20,iPSMediumChange,2024-11-18 01:49:00+00:00,IPSExperiment: iPS_Experiment_2,2024-11-18 02:09:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,5,120,LabwareRefill,2024-11-18 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-18 18:00:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,6,120,LabwareRefill,2024-11-19 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-19 18:00:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,7,120,LabwareRefill,2024-11-20 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-20 18:00:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,8,120,LabwareRefill,2024-11-21 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-21 18:00:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,9,120,LabwareRefill,2024-11-22 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-22 18:00:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,10,120,LabwareRefill,2024-11-23 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-23 18:00:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,11,120,LabwareRefill,2024-11-24 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-24 18:00:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,12,120,LabwareRefill,2024-11-25 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-25 18:00:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,13,120,LabwareRefill,2024-11-26 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-26 18:00:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,14,120,LabwareRefill,2024-11-27 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-27 18:00:00+00:00
LabwareRefillExperiment,129bc253-739b-4d1e-a3d8-e3218b59fafe,0,15,120,LabwareRefill,2024-11-28 16:00:00+00:00,LabwareRefillExperiment: 129bc253-739b-4d1e-a3d8-e3218b59fafe,2024-11-28 18:00:00+00:00
